age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
14,unemployed,married,primary,no,1075,no,no,cellular,11,oct,9,0,-8,0,unknown,no
17,services,married,secondary,no,3335,yes,yes,cellular,5,may,115,0,247,2,failure,no
18,management,single,tertiary,no,746,yes,no,cellular,9,apr,89,0,240,0,failure,no
14,management,married,tertiary,no,841,yes,yes,unknown,0,jun,99,2,-8,0,unknown,no
36,blue-collar,married,secondary,no,-269,yes,no,unknown,0,may,120,0,-8,0,unknown,no
18,management,single,tertiary,no,292,no,no,cellular,14,feb,56,0,124,2,failure,no
19,self-employed,married,tertiary,no,-38,yes,no,cellular,7,may,206,0,240,1,other,no
21,technician,married,secondary,no,-158,yes,no,cellular,1,may,63,0,-8,0,unknown,no
23,entrepreneur,married,tertiary,no,-103,yes,no,unknown,7,may,-7,0,-8,0,unknown,no
24,services,married,primary,no,-335,yes,yes,cellular,9,apr,185,0,103,1,failure,no
21,services,married,secondary,no,6786,yes,no,unknown,12,may,155,0,-8,0,unknown,no
24,admin.,married,secondary,no,-70,yes,no,cellular,9,apr,35,0,-8,0,unknown,no
19,technician,married,tertiary,no,565,no,no,cellular,6,aug,196,0,-8,0,unknown,no
7,student,single,secondary,no,108,no,no,cellular,19,apr,146,0,-8,0,unknown,yes
15,blue-collar,married,secondary,no,1,yes,yes,cellular,18,jan,17,0,173,0,failure,no
22,management,married,tertiary,no,-123,no,yes,cellular,18,aug,92,0,-8,0,unknown,no
34,technician,married,secondary,no,2796,no,no,cellular,17,aug,129,3,-8,0,unknown,no
20,admin.,single,tertiary,no,1474,yes,no,cellular,12,apr,35,0,106,1,failure,no
11,blue-collar,single,primary,no,-435,yes,no,unknown,14,may,138,0,-8,0,unknown,no
15,services,married,secondary,no,-170,no,no,cellular,2,jul,61,0,106,0,other,no
20,management,divorced,unknown,no,-269,yes,no,cellular,10,nov,22,0,-8,0,unknown,no
23,management,divorced,tertiary,no,-257,no,no,cellular,11,nov,55,1,-8,0,unknown,no
25,services,single,secondary,no,-189,no,no,unknown,6,jun,32,0,-8,0,unknown,no
25,entrepreneur,married,secondary,no,-199,no,no,cellular,2,jul,44,0,-8,0,unknown,no
11,housemaid,married,tertiary,no,139,no,no,cellular,19,jan,77,1,-8,0,unknown,no
23,management,married,tertiary,no,4158,no,no,cellular,12,nov,87,0,-8,0,unknown,no
33,blue-collar,married,primary,no,202,yes,no,unknown,0,may,135,0,-8,0,unknown,no
42,retired,married,unknown,no,254,no,no,telephone,9,aug,39,0,71,1,failure,no
34,self-employed,married,secondary,no,320,no,yes,cellular,19,jul,62,0,-8,0,unknown,no
32,admin.,married,secondary,no,-190,no,yes,cellular,12,aug,5,0,-8,0,unknown,no
43,retired,divorced,secondary,no,2883,no,no,telephone,7,jul,625,0,-8,0,unknown,yes
15,technician,married,secondary,no,-140,no,no,cellular,17,aug,10,1,-8,0,unknown,no
36,management,married,secondary,no,-237,no,no,cellular,12,nov,-19,0,-8,0,unknown,no
16,management,single,tertiary,no,1639,yes,no,cellular,16,aug,671,3,-8,0,unknown,yes
29,technician,married,tertiary,no,660,no,no,cellular,6,aug,216,1,-8,0,unknown,yes
23,admin.,divorced,secondary,no,1093,yes,no,unknown,7,may,62,0,-8,0,unknown,no
50,retired,divorced,primary,no,-97,no,no,telephone,13,oct,23,0,-8,0,unknown,yes
16,blue-collar,married,secondary,no,1302,yes,no,cellular,7,nov,49,0,-8,0,unknown,yes
