age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,datasetType
54,0,1,2,0,0,1,0,1,15,8,160,2,-1,0,3,0,1
51,1,1,1,0,526,1,0,0,4,8,57,4,-1,0,3,0,1
27,4,1,2,0,1405,0,0,0,22,0,308,3,122,3,2,1,1
36,2,0,1,0,69,0,0,0,17,5,1171,1,-1,0,3,1,1
36,7,2,1,0,263,1,0,0,9,8,101,2,-1,0,3,0,1
41,1,1,1,0,485,1,0,2,10,8,546,2,-1,0,3,0,1
49,4,1,2,0,437,0,0,0,13,1,37,4,-1,0,3,0,1
43,1,2,1,0,551,0,0,2,14,8,1147,5,-1,0,3,1,1
35,4,1,1,0,613,0,0,0,6,1,84,1,-1,0,3,0,1
37,4,1,2,0,3706,0,0,0,15,1,89,6,-1,0,3,0,1
58,4,1,0,0,4892,1,0,2,8,8,311,1,-1,0,3,0,1
48,1,1,1,0,469,1,0,0,12,8,217,4,-1,0,3,0,1
74,0,1,3,0,4658,0,0,0,14,4,134,2,-1,0,3,1,1
46,1,1,1,0,61,1,0,0,5,8,251,1,341,1,0,0,1
35,1,2,2,0,69,1,0,2,5,8,232,1,-1,0,3,0,1
46,4,1,2,0,13155,0,0,2,9,6,53,2,-1,0,3,0,1
41,1,2,0,0,436,1,0,0,6,3,245,1,260,2,0,0,1
39,4,1,1,0,2298,1,0,0,17,8,765,3,-1,0,3,1,1
50,1,1,1,0,2193,0,0,0,10,3,147,1,98,1,3,1,1
37,1,2,0,0,-688,1,0,0,16,8,928,2,-1,0,3,1,1
28,1,1,0,0,-328,0,0,2,3,8,318,2,-1,0,3,0,1
38,4,1,2,0,1,1,0,0,17,8,214,2,-1,0,3,0,1
57,1,1,1,0,0,1,0,2,29,8,104,2,-1,0,3,0,1
45,1,1,1,0,266,1,0,2,21,8,217,1,-1,0,3,0,1
42,1,2,2,0,1,0,0,0,28,1,252,2,-1,0,3,0,1
33,5,1,1,0,1534,0,0,0,15,6,442,1,54,0,3,1,1
43,4,1,1,0,872,1,0,0,27,4,95,1,150,2,0,0,1
32,1,1,0,0,656,0,0,0,18,5,968,1,-1,0,3,1,1
49,7,1,2,0,5052,0,0,0,17,1,62,4,-1,0,3,0,1
42,1,1,1,0,-377,1,0,0,17,8,48,3,-1,0,3,0,1
60,1,1,1,0,5210,1,0,0,11,5,335,1,78,1,3,0,1
44,4,2,2,0,768,1,1,0,7,3,230,3,249,1,0,0,1
34,9,2,1,0,0,0,0,0,24,1,124,4,-1,0,3,0,1
44,9,1,1,0,739,1,0,0,18,3,229,5,149,1,0,0,1
39,4,0,1,0,920,1,0,0,10,8,717,2,199,4,1,1,1
32,1,1,1,0,148,0,0,0,19,3,344,3,-1,0,3,0,1
41,4,1,1,0,3522,0,0,0,19,9,628,2,33,1,3,1,1
51,1,1,1,0,-98,1,0,2,7,8,423,1,-1,0,3,0,1
47,4,1,1,0,3253,0,0,0,24,5,224,3,-1,0,3,0,1
44,1,1,0,0,408,0,0,0,29,5,889,3,-1,0,3,1,1
48,3,1,1,0,0,0,0,2,26,6,175,11,-1,0,3,0,1
42,0,1,1,0,120,1,0,2,15,8,16,7,-1,0,3,0,1
48,4,1,2,0,4175,1,0,0,9,9,263,2,477,2,1,1,1
44,7,1,0,0,0,0,0,2,11,6,542,1,-1,0,3,0,1
49,9,2,1,0,-78,1,0,0,13,5,108,1,-1,0,3,0,1
47,4,1,1,0,2298,1,0,0,21,8,251,9,-1,0,3,0,1
46,9,1,3,0,333,1,0,0,8,9,30,6,47,1,3,0,1
