age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30.0,unemployed,married,primary,no,1787.0,no,,cellular,19.0,,,1.0,-1,,unknown,no
33.0,services,married,secondary,no,,,yes,,11.0,may,220.0,,339,,,no
35.0,management,,tertiary,no,,yes,no,cellular,16.0,apr,,1.0,330,,failure,no
30.0,management,married,,no,1476.0,yes,,unknown,3.0,jun,199.0,,-1,,,no
59.0,blue-collar,married,,no,,yes,no,unknown,5.0,,226.0,,-1,0.0,unknown,no
35.0,management,single,tertiary,no,,no,no,cellular,23.0,feb,,2.0,176,3.0,failure,no
,self-employed,,tertiary,,,yes,,,14.0,may,,1.0,330,2.0,,no
,technician,married,secondary,no,,yes,no,cellular,6.0,,151.0,,-1,,unknown,no
41.0,entrepreneur,,tertiary,,,,,,14.0,may,57.0,2.0,-1,0.0,unknown,no
,services,,primary,no,,,yes,cellular,,,313.0,,147,2.0,failure,no
39.0,services,,secondary,no,,,no,,20.0,may,,,-1,,,no
,admin.,married,,no,,yes,no,,17.0,apr,,2.0,-1,,,no
,technician,married,,no,1109.0,no,no,cellular,13.0,,328.0,2.0,-1,,,no
20.0,student,single,secondary,no,502.0,,no,cellular,,apr,,,-1,,unknown,yes
31.0,blue-collar,married,,,360.0,,yes,cellular,,jan,,,241,,failure,no
,management,married,,no,,no,yes,cellular,,,,2.0,-1,0.0,,no
56.0,technician,married,secondary,no,,no,no,cellular,27.0,aug,,,-1,0.0,,no
37.0,admin.,single,tertiary,no,2317.0,,,cellular,20.0,,114.0,1.0,152,,,no
,blue-collar,single,primary,,,yes,no,unknown,23.0,,250.0,1.0,-1,,,no
31.0,services,,secondary,no,,no,no,cellular,7.0,,,,152,,other,no
38.0,management,,unknown,,0.0,,,,18.0,,96.0,2.0,-1,,unknown,no
,management,divorced,tertiary,no,16.0,,,cellular,19.0,,140.0,,-1,0.0,unknown,no
,services,single,secondary,no,,no,no,unknown,,,109.0,,-1,0.0,unknown,no
44.0,entrepreneur,married,secondary,no,,no,no,,,jul,125.0,,-1,0.0,unknown,no
,housemaid,married,tertiary,no,543.0,,no,,30.0,jan,,3.0,-1,,unknown,no
41.0,management,,tertiary,,5883.0,,no,cellular,20.0,nov,,,-1,,,no
55.0,blue-collar,married,primary,no,,yes,,,5.0,,247.0,1.0,-1,,unknown,no
67.0,retired,,,no,696.0,,no,telephone,,,119.0,1.0,105,2.0,failure,no
56.0,self-employed,married,secondary,no,784.0,,,,30.0,jul,149.0,,-1,0.0,unknown,no
