existingchecking,duration,credithistory,purpose,creditamount,savings,employmentsince,installmentrate,statussex,otherdebtors,residencesince,property,age,otherinstallmentplans,housing,existingcredits,job,peopleliable,telephone,foreignworker,classification,datasetType
A11,12,A34,A43,2098,A65,A75,3,A93,A101,3,A121,48,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A12,33,A32,A43,4407,A61,A73,2,A92,A101,2,A121,26,A143,A152,1,A173,0,A191,A201,2,DatasetType.Deployment
A14,15,A34,A46,2546,A61,A74,2,A93,A101,2,A121,39,A143,A152,1,A172,1,A191,A201,1,DatasetType.Deployment
A11,30,A32,A42,5339,A61,A74,2,A93,A103,3,A122,37,A143,A153,1,A173,1,A191,A201,1,DatasetType.Deployment
A11,21,A33,A40,3885,A61,A73,2,A93,A101,3,A124,41,A143,A153,1,A173,1,A191,A201,2,DatasetType.Deployment
A14,27,A32,A46,5906,A65,A73,2,A93,A101,3,A124,32,A143,A153,1,A172,1,A192,A201,1,DatasetType.Deployment
A14,21,A32,A42,2903,A63,A75,2,A93,A101,3,A122,41,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,27,A32,A41,4888,A61,A73,2,A93,A101,2,A123,32,A143,A151,1,A174,0,A192,A201,1,DatasetType.Deployment
A14,15,A32,A43,3011,A64,A74,2,A91,A101,3,A121,45,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A12,24,A34,A40,4061,A61,A71,3,A94,A101,2,A123,29,A143,A152,1,A174,0,A191,A201,2,DatasetType.Deployment
A12,15,A32,A40,2159,A61,A72,2,A92,A101,1,A123,27,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A11,33,A32,A49,3614,A61,A72,2,A92,A101,3,A122,27,A143,A151,1,A173,0,A191,A201,2,DatasetType.Deployment
A12,15,A32,A43,2290,A61,A73,1,A92,A101,1,A123,26,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,21,A34,A40,2113,A61,A75,3,A93,A101,3,A123,44,A143,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A11,17,A32,A40,2211,A61,A73,2,A92,A101,3,A123,29,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,21,A32,A43,2153,A62,A73,3,A92,A101,2,A123,31,A143,A152,1,A172,0,A191,A201,2,DatasetType.Deployment
A14,21,A34,A43,2704,A65,A75,3,A93,A101,3,A122,41,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,24,A30,A49,5431,A65,A72,2,A93,A101,2,A123,27,A141,A152,2,A173,0,A191,A201,1,DatasetType.Deployment
A12,21,A32,A41,7607,A61,A75,3,A92,A101,2,A124,36,A143,A153,1,A174,0,A192,A201,2,DatasetType.Deployment
A14,21,A32,A43,3190,A63,A75,2,A93,A101,2,A123,30,A143,A152,1,A173,1,A192,A201,1,DatasetType.Deployment
A14,14,A34,A40,2564,A61,A73,3,A93,A101,3,A123,38,A143,A152,2,A173,0,A192,A201,1,DatasetType.Deployment
A11,12,A32,A43,2812,A63,A73,2,A93,A101,2,A121,36,A143,A151,1,A173,1,A191,A201,1,DatasetType.Deployment
A11,14,A34,A40,2616,A61,A72,1,A93,A101,2,A121,38,A143,A151,1,A172,1,A191,A202,1,DatasetType.Deployment
A12,15,A34,A41,2405,A62,A72,2,A93,A101,3,A122,36,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A14,14,A34,A42,2533,A65,A73,2,A94,A101,1,A123,28,A143,A152,1,A173,0,A191,A202,1,DatasetType.Deployment
A11,12,A32,A42,2197,A61,A73,1,A93,A101,2,A121,33,A141,A152,1,A172,0,A192,A201,1,DatasetType.Deployment
A14,12,A30,A43,1739,A61,A75,3,A94,A101,3,A123,34,A143,A152,1,A172,0,A191,A201,1,DatasetType.Deployment
A13,15,A31,A43,1731,A64,A73,2,A92,A101,2,A121,36,A143,A151,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,13,A32,A43,2700,A61,A73,2,A93,A103,2,A121,32,A143,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A11,38,A33,A49,4834,A61,A75,2,A93,A101,3,A124,46,A143,A152,1,A173,0,A192,A201,2,DatasetType.Deployment
A12,18,A32,A49,2457,A64,A72,2,A94,A101,2,A121,33,A141,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A11,21,A32,A42,3475,A61,A73,2,A93,A101,2,A123,28,A142,A152,1,A173,0,A191,A201,1,DatasetType.Deployment
A12,18,A32,A40,4366,A62,A73,2,A93,A101,2,A123,30,A143,A152,1,A173,0,A192,A201,1,DatasetType.Deployment
A14,15,A34,A49,2144,A65,A75,3,A93,A101,3,A124,43,A143,A151,1,A172,0,A191,A201,1,DatasetType.Deployment
A13,15,A32,A42,2245,A61,A72,3,A92,A101,1,A122,31,A141,A152,1,A174,0,A192,A201,1,DatasetType.Deployment
